Participant,Tester,Initial Coder,Blind Coder,Date Tested,Time Tested,Participant Name,EventVersion,Date of Birth,Age at Test,Previous Study?,ASL?,Filename,Original Filenames,In AllData?,To include,Exclude reason,Notes
21,Eunice,Caitlin,Miguel,UNK,UNK,UNK,,,,,,"Spatial_21_Gesture.mp4, Spatial_21_Case.mp4","S1_00138.mp4, S1_00140.mp4, S1_00139.mp4",Yes,1,,"Note, coding of Case task missing; needs recoding. Original trial 5 of Case is in S1_00139"
22,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_22_Gesture.mp4, Spatial_22_Case.mp4","S2_00142.mp4, S2_00143.mp4",Yes,1,,
23,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_23_Gesture.mp4, Spatial_23_Case.mp4","S3_00147, S3_00148",Yes,0,V-Only,Exclude for V-only gestures in Free condition
24,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,,"Don't use, doesn't have Casemarking movie",No,0,INCOMPLETE,Subject didn't complete Case condition
25,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_25_Gesture.mp4, Spatial_25_Case.mp4","S5_00154, S5_00155, S5_00156",Yes,1,,
26,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_26_Gesture.mp4, Spatial_26_Case.mp4","S6_00158, S6_00159",Yes,1,,
27,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_27_Gesture, Spatial_27_Case","S7_00161, S7_00162",Yes,1,,
28,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_28_Gesture, Spatial_28_Case","S8_00164, S8_00165, S8_00166",No,0,CONFUSED,Subject didn't understand instructions (Eunice report)
29,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_29_Gesture, Spatial_29_Case",", S9_00170",Yes,1,,
30,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_30_Gesture, Spatial_30_Case","s10_00172, S10_00174",Yes,1,,
31,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_31_Gesture, Spatial_31_Case","S11_00176, S11_00177, S11_00179",Yes,1,,
32,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_32_Gesture, Spatial_32_Case","S12_00182, S12_00184",Yes,1,,
33,Eunice,Caitlin,Miguel,UNK,UNK,UNK,,,,,,"Spatial_33_Gesture, Spatial_33_Case","S13_00187, S13_00188, S13_00189",Yes,1,,"Eunice Case task coding missing, needs recoding"
34,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_34_Gesture, Spatial_34_Case","S14_00191, S14_00192,S14_00193",Yes,1,,
35,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Didn't use, doesn't have casemarking video",S15_00197-S15_00202,No,0,INCOMPLETE,Subject didn't complete Case condition
36,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_36_Gesture, Spatial_36_Case","S16_00205, S16_00206, S16_00207",Yes,1,,
37,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_37_Gesture, Spatial_37_Case","S17_00210, S17_00211, S17_00212",Yes,1,,
38,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_38_Gesture, Spatial_38_Case","S18_00002, S18_00003",Yes,1,,
39,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Number not used,,No,0,NA,
40,Miguel,NA,NA,5/14/14,1430,Lilly,B,,,,No,Spatial_40_05142014.MTS,,No,0,EXP ERROR,Possible repeat? Hand cueing. Miguel outside testing room
41,Miguel,NA,NA,5/14/14,1500,Maria,A,,,,No,Spatial_41_05142014.MTS,,No,0,EXP ERROR,Possible repeat? Case-marked in free part. Hand cueing. Miguel outside testing room
42,Miguel,NA,NA,5/14/14,1530,Sarah,B,,,,No,Spatial_42_05142014.MTS,,No,0,EXP ERROR,Possible repeat? Case-marked in free part. May not have understood instructions. Hand cueing. Miguel outside testing room
43,Miguel,NA,NA,5/14/14,1600,Ciaran,B,,,Repeat,No,Spatial_43_05142014.MTS,,No,0,NA,"Possible repeat? A lot of only ""V"" Hand cueing. Miguel outside testing room"
44,Miguel,NA,NA,5/14/14,1630,George,B,,,,No,Spatial_44_05142014.MTS,,No,0,EXP ERROR,Possible repeat? Case-marked in free part. Hand cueing. Miguel outside testing room.
45,Miguel,NA,NA,5/16/14,1300,Paggi,B,,,Repeat,No,Spatial_45_05162014.MTS,,No,0,NA,Repeat! And Miguel outside testing room
46,Miguel,Miguel,Caitlin,5/16/14,1330,Michael,A,,,,No,Spatial_46_05162014.MTS,,Yes,1,,Could not come up with gestures for some of the people/objects. Miguel outside testing room.
47,Miguel,Miguel,Mitchell,5/16/14,1400,Rachelle,B,,,,No,Spatial_47_05162014.MTS,,Yes,1,,Miguel outside testing room
48,Miguel,Miguel,Mitchell,5/16/14,1600,Jennifer,A,,,,No,Spatial_48_05162014.MTS,,Yes,0,CONFUSED,"Maybe intoxicated? Seemed competent to do the task, though. Miguel outside testing room."
49,Miguel,Miguel,Caitlin,5/23/14,1100,Leroy,B,,,,No,Spatial_49_05232014.MTS,,Yes,1,,Did not understand. Said he could not make gestures for the actor.
50,Miguel,Miguel,Mitchell,5/23/14,1130,Stephanie,A,,,,No,Spatial_50_05232014.MTS,,Yes,1,,
51,Miguel,Miguel,NA,5/23/14,1200,Carole,B,,,,No,Spatial_51_05232014.MTS,,Yes,0,CONFUSED,DNR subject; Was not very complete with the gesture sequences.
52,Miguel,Miguel,Caitlin,5/23/14,1230,Tiffany,A,,,,No,Spatial_52_05232014.MTS,,Yes,1,,
53,Miguel,Miguel,Mitchell,5/23/14,1430,Steven,B,,,,No,Spatial_53_05232014.MTS,,Yes,1,,
54,Miguel,Miguel,Caitlin,5/23/14,1630,Diane,A,5/6/58,56.00,,No,Spatial_54_05232014.MTS,,Yes,0,V-Only,Predominantly verb-only gesture sequences.
55,Miguel,Miguel,NA,6/6/14,1230,Michael,B,9/23/60,53.00,Repeat,No,Spatial_55_05232014.MTS,,No,0,NA,
56,Miguel,Miguel,NA,6/6/14,1300,Eric,A,9/13/61,52.00,Repeat,No,Spatial_56_05232014.MTS,,No,0,NA,
57,Miguel,Miguel,Cristina,6/6/14,1430,Joseph,B,2/10/82,32.00,Repeat,No,Spatial_57_05232014.MTS,,Yes,0,NA,Did the same study twice. Is participant number 36
58,Miguel,Miguel,Cristina,6/6/14,1600,Jenifer,A,2/17/95,19.00,,No,Spatial_58_05232014.MTS,,Yes,1,,
59,Miguel,Miguel,NA,6/11/14,1430,Angela,B,1/23/78,36.00,,No,Spatial_59_05232014.MTS,,No,0,CONFUSED,Predominantly verb-only gesture sequences.
60,Miguel,Miguel,Caitlin,6/18/14,1400,Lisa,A,9/6/94,19.00,,No,Spatial_60_05232014.MTS,,Yes,1,,
61,Miguel,Miguel,Caitlin,6/18/14,1500,Christopher,B,9/14/86,27.00,,No,Spatial_61_05232014.MTS,,Yes,1,,
62,Miguel,Miguel,Caitlin,6/18/14,1600,Heidi,A,5/6/79,35.00,,No,Spatial_62_05232014.MTS,,Yes,1,,
63,Miguel,Miguel,Caitlin,6/19/14,1100,Emily,B,1/25/91,23.00,,No,Spatial_63_05232014.MTS,,Yes,1,,
64,Miguel,Miguel,Cristina,6/19/14,1200,Alice,A,11/7/92,21.00,,No,Spatial_64_05232014.MTS,,Yes,1,,
65,Miguel,Miguel,Cristina,6/19/14,1300,Thomas,A,2/10/71,43.00,,No,Spatial_65_05232014.MTS,,Yes,1,,
66,Miguel,Miguel,Caitlin,6/19/14,1600,Eric,B,1/20/79,35.00,,No,Spatial_66_05232014.MTS,,Yes,1,,
67,Miguel,Miguel,Caitlin,6/20/14,1200,Cindy,A,2/9/95,19.00,,No,Spatial_67_05232014.MTS,,Yes,1,,
